ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,
0,1,0,0,1,0,1,1,0,0,1,
5,1,0,0,0,0,1,0,0,0,1,
10,1,0,0,0,0,1,0,0,0,1,
15,1,0,0,0,0,1,0,0,0,1,
20,1,0,0,0,0,1,0,0,0,1,
25,1,0,0,0,0,1,0,0,0,1,
30,1,0,0,0,0,1,0,0,0,1,
35,1,0,0,0,0,1,0,0,0,1,
40,1,0,0,0,0,1,0,0,0,1,
45,1,0,0,0,0,1,0,0,0,1,
50,1,0,0,0,0,1,0,0,0,1,
55,1,0,0,0,0,1,0,0,0,1,
60,1,0,0,0,0,1,0,0,0,1,
65,1,0,0,0,0,1,0,0,0,1,
70,1,0,0,0,0,1,0,0,0,1,
75,1,0,0,0,0,1,0,0,0,1,
80,1,0,0,0,0,1,0,0,0,1,
85,1,0,0,0,0,1,0,0,0,1,
90,1,0,0,0,0,1,0,0,0,1,
95,1,0,0,0,0,1,0,0,0,1,
100,1,0,0,0,0,1,0,0,0,1,
105,1,0,0,0,0,1,0,0,0,1,
110,1,0,0,0,0,1,0,0,0,1,
115,1,0,0,0,0,1,0,0,0,1,
120,1,0,0,0,0,1,0,0,0,1,
125,1,0,0,0,0,1,0,0,0,1,
130,1,0,0,0,0,1,0,0,0,1,
135,1,0,0,0,0,1,0,0,0,1,
140,1,0,0,0,0,1,0,0,0,1,
145,1,0,0,0,0,1,0,0,0,1,
150,1,0,0,0,0,1,0,0,0,1,
155,1,0,0,0,0,1,0,0,0,1,
160,1,0,0,0,0,1,0,0,0,1,
165,1,0,0,0,0,1,0,0,0,1,
170,1,0,0,0,0,1,0,0,0,1,
175,1,0,0,0,0,1,0,0,0,1,
180,1,0,0,0,0,1,0,0,0,1,
185,1,0,0,0,0,1,0,0,0,1,
190,1,0,0,0,0,1,0,0,0,1,
195,1,0,0,0,0,1,0,0,0,1,
200,1,0,0,0,0,1,0,0,0,1,
205,1,0,0,0,0,1,0,0,0,1,
210,1,0,0,0,0,1,0,0,0,1,
215,1,0,0,0,0,1,0,0,0,1,
220,1,0,0,0,0,1,0,0,0,1,
225,1,0,0,0,0,1,0,0,0,1,
230,1,0,0,0,0,1,0,0,0,1,
235,1,0,0,0,0,1,0,0,0,1,
240,1,0,0,0,0,1,0,0,0,1,
245,1,0,0,0,0,1,0,0,0,1,
250,1,0,0,0,0,1,0,0,0,1,
255,1,0,0,0,0,1,0,0,0,1,
260,1,0,0,0,0,1,0,0,0,1,
265,1,0,0,0,0,1,0,0,0,1,
270,1,0,0,0,0,1,0,0,0,1,
275,1,0,0,0,0,1,0,0,0,1,
280,1,0,0,0,0,1,0,0,0,1,
285,1,0,0,0,0,1,0,0,0,1,
290,1,0,0,0,0,1,0,0,0,1,
295,1,0,0,0,0,1,0,0,0,1,
300,1,0,0,0,0,1,0,0,0,1,
