ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,
0,1,1,1,1,0,0,1,1,0,0,
5,0,0,0,0,0,1,0,0,0,0,
10,1,1,1,1,1,0,1,1,1,1,
15,0,0,0,0,0,1,0,0,0,0,
20,1,1,1,1,1,0,1,1,1,1,
25,0,0,0,0,0,1,0,0,0,0,
30,1,1,1,1,1,0,1,1,1,1,
35,0,0,0,0,0,1,0,0,0,0,
40,1,1,1,1,1,0,1,1,1,1,
45,0,0,0,0,0,1,0,0,0,0,
50,1,1,1,1,1,0,1,1,1,1,
55,0,0,0,0,0,1,0,0,0,0,
60,1,1,1,1,1,0,1,1,1,1,
65,0,0,0,0,0,1,0,0,0,0,
70,1,1,1,1,1,0,1,1,1,1,
75,0,0,0,0,0,1,0,0,0,0,
80,1,1,1,1,1,0,1,1,1,1,
85,0,0,0,0,0,1,0,0,0,0,
90,1,1,1,1,1,0,1,1,1,1,
95,0,0,0,0,0,1,0,0,0,0,
100,1,1,1,1,1,0,1,1,1,1,
105,0,0,0,0,0,1,0,0,0,0,
110,1,1,1,1,1,0,1,1,1,1,
115,0,0,0,0,0,1,0,0,0,0,
120,1,1,1,1,1,0,1,1,1,1,
125,0,0,0,0,0,1,0,0,0,0,
130,1,1,1,1,1,0,1,1,1,1,
135,0,0,0,0,0,1,0,0,0,0,
140,1,1,1,1,1,0,1,1,1,1,
145,0,0,0,0,0,1,0,0,0,0,
150,1,1,1,1,1,0,1,1,1,1,
155,0,0,0,0,0,1,0,0,0,0,
160,1,1,1,1,1,0,1,1,1,1,
165,0,0,0,0,0,1,0,0,0,0,
170,1,1,1,1,1,0,1,1,1,1,
175,0,0,0,0,0,1,0,0,0,0,
180,1,1,1,1,1,0,1,1,1,1,
185,0,0,0,0,0,1,0,0,0,0,
190,1,1,1,1,1,0,1,1,1,1,
195,0,0,0,0,0,1,0,0,0,0,
200,1,1,1,1,1,0,1,1,1,1,
205,0,0,0,0,0,1,0,0,0,0,
210,1,1,1,1,1,0,1,1,1,1,
215,0,0,0,0,0,1,0,0,0,0,
220,1,1,1,1,1,0,1,1,1,1,
225,0,0,0,0,0,1,0,0,0,0,
230,1,1,1,1,1,0,1,1,1,1,
235,0,0,0,0,0,1,0,0,0,0,
240,1,1,1,1,1,0,1,1,1,1,
245,0,0,0,0,0,1,0,0,0,0,
250,1,1,1,1,1,0,1,1,1,1,
255,0,0,0,0,0,1,0,0,0,0,
260,1,1,1,1,1,0,1,1,1,1,
265,0,0,0,0,0,1,0,0,0,0,
270,1,1,1,1,1,0,1,1,1,1,
275,0,0,0,0,0,1,0,0,0,0,
280,1,1,1,1,1,0,1,1,1,1,
285,0,0,0,0,0,1,0,0,0,0,
290,1,1,1,1,1,0,1,1,1,1,
295,0,0,0,0,0,1,0,0,0,0,
300,1,1,1,1,1,0,1,1,1,1,
