ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,
0,6,2,5,3,5,0,5,5,3,6,
5,3,3,3,3,3,3,3,3,3,3,
10,3,3,3,3,3,3,3,3,3,3,
15,3,3,3,3,3,3,3,3,3,3,
20,3,3,3,3,3,3,3,3,3,3,
25,3,3,3,3,3,3,3,3,3,3,
30,3,3,3,3,3,3,3,3,3,3,
35,3,3,3,3,3,3,3,3,3,3,
40,3,3,3,3,3,3,3,3,3,3,
45,3,3,3,3,3,3,3,3,3,3,
50,3,3,3,3,3,3,3,3,3,3,
55,3,3,3,3,3,3,3,3,3,3,
60,3,3,3,3,3,3,3,3,3,3,
65,3,3,3,3,3,3,3,3,3,3,
70,3,3,3,3,3,3,3,3,3,3,
75,3,3,3,3,3,3,3,3,3,3,
80,3,3,3,3,3,3,3,3,3,3,
85,3,3,3,3,3,3,3,3,3,3,
90,3,3,3,3,3,3,3,3,3,3,
95,3,3,3,3,3,3,3,3,3,3,
100,3,3,3,3,3,3,3,3,3,3,
105,3,3,3,3,3,3,3,3,3,3,
110,3,3,3,3,3,3,3,3,3,3,
115,3,3,3,3,3,3,3,3,3,3,
120,3,3,3,3,3,3,3,3,3,3,
125,3,3,3,3,3,3,3,3,3,3,
130,3,3,3,3,3,3,3,3,3,3,
135,3,3,3,3,3,3,3,3,3,3,
140,3,3,3,3,3,3,3,3,3,3,
145,3,3,3,3,3,3,3,3,3,3,
150,3,3,3,3,3,3,3,3,3,3,
155,3,3,3,3,3,3,3,3,3,3,
160,3,3,3,3,3,3,3,3,3,3,
165,3,3,3,3,3,3,3,3,3,3,
170,3,3,3,3,3,3,3,3,3,3,
175,3,3,3,3,3,3,3,3,3,3,
180,3,3,3,3,3,3,3,3,3,3,
185,3,3,3,3,3,3,3,3,3,3,
190,3,3,3,3,3,3,3,3,3,3,
195,3,3,3,3,3,3,3,3,3,3,
200,3,3,3,3,3,3,3,3,3,3,
205,3,3,3,3,3,3,3,3,3,3,
210,3,3,3,3,3,3,3,3,3,3,
215,3,3,3,3,3,3,3,3,3,3,
220,3,3,3,3,3,3,3,3,3,3,
225,3,3,3,3,3,3,3,3,3,3,
230,3,3,3,3,3,3,3,3,3,3,
235,3,3,3,3,3,3,3,3,3,3,
240,3,3,3,3,3,3,3,3,3,3,
245,3,3,3,3,3,3,3,3,3,3,
250,3,3,3,3,3,3,3,3,3,3,
255,3,3,3,3,3,3,3,3,3,3,
260,3,3,3,3,3,3,3,3,3,3,
265,3,3,3,3,3,3,3,3,3,3,
270,3,3,3,3,3,3,3,3,3,3,
275,3,3,3,3,3,3,3,3,3,3,
280,3,3,3,3,3,3,3,3,3,3,
285,3,3,3,3,3,3,3,3,3,3,
290,3,3,3,3,3,3,3,3,3,3,
295,3,3,3,3,3,3,3,3,3,3,
300,3,3,3,3,3,3,3,3,3,3,
