ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,
0,3,6,2,4,5,3,4,6,7,2,
5,3,3,2,2,3,3,3,3,2,2,
10,3,3,3,3,3,3,3,3,3,2,
15,3,2,3,3,3,3,3,3,3,2,
20,3,2,3,3,2,3,3,2,3,2,
25,3,3,2,3,2,3,2,3,2,2,
30,3,3,3,3,3,3,2,3,3,2,
35,3,3,3,3,2,3,2,3,2,2,
40,3,3,3,3,3,3,3,2,3,2,
45,3,2,3,3,3,3,2,3,3,2,
50,3,3,3,2,3,3,2,2,2,2,
55,3,2,2,2,2,3,2,3,3,2,
60,3,2,3,3,2,3,2,2,2,2,
65,3,3,3,2,3,3,3,3,3,2,
70,3,2,3,2,3,3,2,2,3,2,
75,3,3,3,3,3,3,3,3,3,2,
80,3,3,3,3,3,3,2,2,3,2,
85,3,3,3,3,3,3,3,3,2,2,
90,3,3,3,2,3,3,3,3,3,2,
95,3,3,3,3,2,3,3,2,2,2,
100,3,2,3,2,2,3,2,2,3,2,
105,3,3,2,3,3,3,3,3,2,2,
110,3,3,3,2,3,3,3,3,3,2,
115,3,3,3,3,3,3,3,3,2,2,
120,3,3,2,3,3,3,3,3,3,2,
125,3,2,3,2,2,3,3,2,2,2,
130,3,2,2,3,2,3,3,3,2,2,
135,3,3,3,2,3,3,3,3,2,2,
140,3,2,2,3,2,3,3,3,2,2,
145,3,2,2,3,3,3,3,3,2,2,
150,3,3,3,3,2,3,2,2,3,2,
155,3,3,3,3,3,3,2,2,3,2,
160,3,2,2,3,3,3,3,3,2,2,
165,3,3,2,3,3,3,2,3,3,2,
170,3,2,3,3,3,3,3,3,3,2,
175,3,2,3,3,3,3,3,3,3,2,
180,3,3,3,2,2,3,3,3,2,2,
185,3,3,3,3,3,3,2,3,3,2,
190,3,3,2,3,3,3,2,2,2,2,
195,3,3,3,2,3,3,3,2,3,2,
200,3,2,3,2,3,3,3,3,3,2,
205,3,3,2,2,3,3,3,3,2,2,
210,3,3,2,3,3,3,3,3,3,2,
215,3,3,3,3,2,3,3,3,2,2,
220,3,3,2,2,3,3,2,3,2,2,
225,3,3,3,3,3,3,3,3,2,2,
230,3,3,3,2,3,3,2,3,3,2,
235,3,3,2,3,3,3,2,2,3,2,
240,3,2,3,3,3,3,2,3,3,2,
245,3,3,3,2,2,3,2,3,3,2,
250,3,3,2,2,3,3,2,2,3,2,
255,3,2,3,2,3,3,2,3,3,2,
260,3,3,3,3,3,3,3,3,2,2,
265,3,3,3,3,3,3,3,2,2,2,
270,3,2,2,3,3,3,2,3,2,2,
275,3,2,3,3,3,3,2,3,3,2,
280,3,2,3,2,3,3,3,3,3,2,
285,3,3,3,3,3,3,3,3,2,2,
290,3,3,3,3,3,3,2,3,3,2,
295,3,2,3,3,3,3,3,3,3,2,
300,3,3,2,3,3,3,3,2,2,2,
