ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80,A81,A82,A83,A84,A85,A86,A87,A88,A89,A90,A91,A92,A93,A94,A95,A96,A97,A98,A99,
0,3,2,3,4,5,0,6,1,6,3,3,7,2,2,4,1,7,0,0,3,5,1,1,4,2,1,6,2,2,0,3,3,2,0,3,2,6,2,5,7,3,4,4,2,6,3,5,2,6,2,5,6,0,0,4,2,0,1,0,0,5,2,0,5,2,5,0,3,5,7,7,6,4,4,4,3,5,2,4,3,7,7,2,6,0,2,0,0,6,5,2,3,1,2,2,2,1,4,7,2,
5,4,4,3,3,4,3,3,3,3,3,4,4,3,4,3,4,3,3,3,4,3,4,3,3,3,3,4,4,3,4,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,3,3,4,4,4,4,3,4,3,4,4,3,3,3,4,
10,3,4,3,4,3,3,3,3,4,3,3,4,4,4,4,3,3,3,4,4,3,4,3,4,4,3,4,4,4,4,3,4,4,3,4,4,3,4,4,4,3,3,3,3,3,4,3,3,4,3,4,4,4,3,3,4,3,3,3,3,3,4,4,4,3,4,3,4,4,3,3,3,4,4,3,4,4,4,4,3,3,3,4,3,3,3,4,4,4,3,4,3,4,4,4,4,4,3,3,4,
15,3,4,4,3,4,4,4,3,3,3,4,3,4,3,4,4,3,4,4,4,4,4,3,4,4,3,4,4,3,3,3,3,4,3,4,3,4,4,3,3,3,4,3,4,4,3,3,3,4,4,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,3,3,3,4,4,3,4,3,3,4,4,4,3,3,4,4,4,3,3,3,4,3,3,3,3,3,4,4,3,4,3,4,3,4,
20,4,3,4,3,4,4,4,3,3,4,4,3,4,4,4,3,3,3,3,3,4,3,4,3,3,3,3,3,4,3,4,4,3,3,4,4,3,3,3,3,3,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3,4,3,3,4,3,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,4,4,3,4,3,3,4,3,4,4,4,4,3,4,3,4,
25,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,3,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,3,3,4,3,4,4,3,3,4,4,4,4,3,4,4,3,4,3,4,3,4,3,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,3,4,3,3,4,4,3,4,4,3,3,3,4,
30,4,4,4,3,3,4,4,3,3,3,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,4,4,4,3,4,4,4,3,3,3,4,3,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,3,4,3,3,3,4,3,4,
35,4,3,4,4,4,4,4,4,3,4,4,3,4,3,3,4,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3,4,3,4,3,4,3,4,3,4,4,4,3,3,3,4,4,4,4,3,4,3,3,4,4,3,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,3,4,3,3,3,4,3,3,3,3,3,4,4,4,4,4,3,4,4,3,4,4,4,
40,3,4,3,3,3,4,4,4,4,3,4,4,3,4,3,3,3,3,4,4,4,4,3,3,4,4,3,4,4,4,4,3,4,4,3,3,4,3,4,4,3,3,4,4,4,3,4,3,3,3,4,4,4,3,3,3,3,4,3,3,3,4,4,3,4,4,4,3,3,3,4,3,4,3,4,4,3,3,3,3,3,4,4,4,4,3,3,3,4,4,3,3,4,3,4,3,3,3,3,4,
45,3,4,4,4,3,4,3,3,4,3,3,4,3,3,4,4,3,4,3,4,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,4,4,4,3,3,4,3,4,3,3,4,4,4,3,4,4,4,4,3,4,4,3,3,3,3,4,3,4,4,3,4,4,4,3,4,4,3,3,4,4,3,3,4,3,3,3,4,4,3,3,4,3,4,3,3,3,4,3,4,3,3,3,3,4,3,
