ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,
0,5,3,5,2,5,4,2,7,5,1,
5,5,5,5,5,5,5,5,7,5,5,
10,5,5,5,5,5,5,5,7,5,5,
15,5,5,5,5,5,5,5,7,5,5,
20,5,5,5,5,5,5,5,7,5,5,
25,5,5,5,5,5,5,5,7,5,5,
30,5,5,5,5,5,5,5,7,5,5,
35,5,5,5,5,5,5,5,7,5,5,
40,5,5,5,5,5,5,5,7,5,5,
45,5,5,5,5,5,5,5,7,5,5,
50,5,5,5,5,5,5,5,7,5,5,
55,5,5,5,5,5,5,5,7,5,5,
60,5,5,5,5,5,5,5,7,5,5,
65,5,5,5,5,5,5,5,7,5,5,
70,5,5,5,5,5,5,5,7,5,5,
75,5,5,5,5,5,5,5,7,5,5,
80,5,5,5,5,5,5,5,7,5,5,
85,5,5,5,5,5,5,5,7,5,5,
90,5,5,5,5,5,5,5,7,5,5,
95,5,5,5,5,5,5,5,7,5,5,
100,5,5,5,5,5,5,5,7,5,5,
105,5,5,5,5,5,5,5,7,5,5,
110,5,5,5,5,5,5,5,7,5,5,
115,5,5,5,5,5,5,5,7,5,5,
120,5,5,5,5,5,5,5,7,5,5,
125,5,5,5,5,5,5,5,7,5,5,
130,5,5,5,5,5,5,5,7,5,5,
135,5,5,5,5,5,5,5,7,5,5,
140,5,5,5,5,5,5,5,7,5,5,
145,5,5,5,5,5,5,5,7,5,5,
150,5,5,5,5,5,5,5,7,5,5,
155,5,5,5,5,5,5,5,7,5,5,
160,5,5,5,5,5,5,5,7,5,5,
165,5,5,5,5,5,5,5,7,5,5,
170,5,5,5,5,5,5,5,7,5,5,
175,5,5,5,5,5,5,5,7,5,5,
180,5,5,5,5,5,5,5,7,5,5,
185,5,5,5,5,5,5,5,7,5,5,
190,5,5,5,5,5,5,5,7,5,5,
195,5,5,5,5,5,5,5,7,5,5,
200,5,5,5,5,5,5,5,7,5,5,
205,5,5,5,5,5,5,5,7,5,5,
210,5,5,5,5,5,5,5,7,5,5,
215,5,5,5,5,5,5,5,7,5,5,
220,5,5,5,5,5,5,5,7,5,5,
225,5,5,5,5,5,5,5,7,5,5,
230,5,5,5,5,5,5,5,7,5,5,
235,5,5,5,5,5,5,5,7,5,5,
240,5,5,5,5,5,5,5,7,5,5,
245,5,5,5,5,5,5,5,7,5,5,
250,5,5,5,5,5,5,5,7,5,5,
255,5,5,5,5,5,5,5,7,5,5,
260,5,5,5,5,5,5,5,7,5,5,
265,5,5,5,5,5,5,5,7,5,5,
270,5,5,5,5,5,5,5,7,5,5,
275,5,5,5,5,5,5,5,7,5,5,
280,5,5,5,5,5,5,5,7,5,5,
285,5,5,5,5,5,5,5,7,5,5,
290,5,5,5,5,5,5,5,7,5,5,
295,5,5,5,5,5,5,5,7,5,5,
300,5,5,5,5,5,5,5,7,5,5,
