ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,
0,0,0,0,1,0,1,1,1,0,0,
5,1,1,1,1,0,1,0,0,0,0,
10,0,0,0,0,1,0,1,1,1,1,
15,1,1,1,1,0,1,0,0,0,0,
20,0,0,0,0,1,0,1,1,1,1,
25,1,1,1,1,0,1,0,0,0,0,
30,0,0,0,0,1,0,1,1,1,1,
35,1,1,1,1,0,1,0,0,0,0,
40,0,0,0,0,1,0,1,1,1,1,
45,1,1,1,1,0,1,0,0,0,0,
50,0,0,0,0,1,0,1,1,1,1,
55,1,1,1,1,0,1,0,0,0,0,
60,0,0,0,0,1,0,1,1,1,1,
65,1,1,1,1,0,1,0,0,0,0,
70,0,0,0,0,1,0,1,1,1,1,
75,1,1,1,1,0,1,0,0,0,0,
80,0,0,0,0,1,0,1,1,1,1,
85,1,1,1,1,0,1,0,0,0,0,
90,0,0,0,0,1,0,1,1,1,1,
95,1,1,1,1,0,1,0,0,0,0,
100,0,0,0,0,1,0,1,1,1,1,
105,1,1,1,1,0,1,0,0,0,0,
110,0,0,0,0,1,0,1,1,1,1,
115,1,1,1,1,0,1,0,0,0,0,
120,0,0,0,0,1,0,1,1,1,1,
125,1,1,1,1,0,1,0,0,0,0,
130,0,0,0,0,1,0,1,1,1,1,
135,1,1,1,1,0,1,0,0,0,0,
140,0,0,0,0,1,0,1,1,1,1,
145,1,1,1,1,0,1,0,0,0,0,
150,0,0,0,0,1,0,1,1,1,1,
155,1,1,1,1,0,1,0,0,0,0,
160,0,0,0,0,1,0,1,1,1,1,
165,1,1,1,1,0,1,0,0,0,0,
170,0,0,0,0,1,0,1,1,1,1,
175,1,1,1,1,0,1,0,0,0,0,
180,0,0,0,0,1,0,1,1,1,1,
185,1,1,1,1,0,1,0,0,0,0,
190,0,0,0,0,1,0,1,1,1,1,
195,1,1,1,1,0,1,0,0,0,0,
200,0,0,0,0,1,0,1,1,1,1,
205,1,1,1,1,0,1,0,0,0,0,
210,0,0,0,0,1,0,1,1,1,1,
215,1,1,1,1,0,1,0,0,0,0,
220,0,0,0,0,1,0,1,1,1,1,
225,1,1,1,1,0,1,0,0,0,0,
230,0,0,0,0,1,0,1,1,1,1,
235,1,1,1,1,0,1,0,0,0,0,
240,0,0,0,0,1,0,1,1,1,1,
245,1,1,1,1,0,1,0,0,0,0,
250,0,0,0,0,1,0,1,1,1,1,
255,1,1,1,1,0,1,0,0,0,0,
260,0,0,0,0,1,0,1,1,1,1,
265,1,1,1,1,0,1,0,0,0,0,
270,0,0,0,0,1,0,1,1,1,1,
275,1,1,1,1,0,1,0,0,0,0,
280,0,0,0,0,1,0,1,1,1,1,
285,1,1,1,1,0,1,0,0,0,0,
290,0,0,0,0,1,0,1,1,1,1,
295,1,1,1,1,0,1,0,0,0,0,
300,0,0,0,0,1,0,1,1,1,1,
